MT Seed,HP,Atk,Def,SpA,SpD,Spe
016A4B08,31,7,31,31,31,31
06EFA0A0,31,5,31,31,31,31
07A7B200,31,11,31,31,31,31
0D5DEF03,31,10,31,31,31,31
14B11BA6,31,31,31,31,31,31
18A22AB1,31,23,31,31,31,31
1908FB69,31,15,31,31,31,31
19C3CBB0,31,2,31,31,31,31
1A450568,31,1,31,31,31,31
1B970A2B,31,8,31,31,31,31
263359EE,31,13,31,31,31,31
2E169E1D,31,8,31,31,31,31
332F8C74,31,2,31,31,31,31
35D99CBB,31,28,31,31,31,31
3A389BCC,31,1,31,31,31,31
3BCE5350,31,19,31,31,31,31
3D4FD27F,31,11,31,31,31,31
413AB99E,31,8,31,31,31,31
4536BDFA,31,26,31,31,31,31
45DAA4CA,31,4,31,31,31,31
47BDFDAF,31,6,31,31,31,31
4B0B5D30,31,28,31,31,31,31
4BD26FC3,31,0,31,31,31,31
4BEEF659,31,9,31,31,31,31
4D3A4028,31,28,31,31,31,31
4F225B69,31,10,31,31,31,31
50B74079,31,22,31,31,31,31
529CBFFF,31,30,31,31,31,31
532794DA,31,2,31,31,31,31
56DB5A2B,31,19,31,31,31,31
57C320C4,31,10,31,31,31,31
592E5A30,31,11,31,31,31,31
5AFAD1C0,31,3,31,31,31,31
5B1A50FF,31,6,31,31,31,31
61D59ABA,31,13,31,31,31,31
61EFCC8A,31,12,31,31,31,31
62458F9B,31,9,31,31,31,31
6614DA40,31,30,31,31,31,31
66168380,31,30,31,31,31,31
66AC81EE,31,20,31,31,31,31
6A33A67F,31,6,31,31,31,31
6ABD8694,31,23,31,31,31,31
6C138F8E,31,3,31,31,31,31
6E79C917,31,29,31,31,31,31
6EF8AB8B,31,28,31,31,31,31
72F9EF3E,31,10,31,31,31,31
7408FAF7,31,11,31,31,31,31
76E8CE54,31,17,31,31,31,31
77638423,31,23,31,31,31,31
77917279,31,6,31,31,31,31
7890D42D,31,18,31,31,31,31
7961AFBE,31,9,31,31,31,31
7AE65D88,31,19,31,31,31,31
8198334A,31,1,31,31,31,31
83FD8BD4,31,1,31,31,31,31
843DBD6C,31,19,31,31,31,31
89DAC378,31,29,31,31,31,31
8A30480D,31,31,31,31,31,31
8C569175,31,14,31,31,31,31
908DA0E8,31,27,31,31,31,31
92B7EEC4,31,19,31,31,31,31
943CCAD1,31,2,31,31,31,31
97326EDA,31,1,31,31,31,31
9918CC22,31,27,31,31,31,31
9E02B0AE,31,31,31,31,31,31
9E77201D,31,1,31,31,31,31
A14C1C2F,31,7,31,31,31,31
A66BA9C8,31,11,31,31,31,31
A8E543CB,31,22,31,31,31,31
ADFA2178,31,31,31,31,31,31
AE7D070B,31,20,31,31,31,31
AF4386F9,31,19,31,31,31,31
B250BA44,31,10,31,31,31,31
B34D102B,31,18,31,31,31,31
B5064580,31,27,31,31,31,31
B7DEB7C5,31,1,31,31,31,31
BEE3257E,31,23,31,31,31,31
C0676056,31,9,31,31,31,31
C33AD435,31,8,31,31,31,31
C4591614,31,25,31,31,31,31
C4E63EB7,31,10,31,31,31,31
C59A441A,31,0,31,31,31,31
C663D68D,31,5,31,31,31,31
CC42587B,31,19,31,31,31,31
CE303498,31,16,31,31,31,31
D7D9DE09,31,23,31,31,31,31
D8BD3B9D,31,6,31,31,31,31
DABE79C3,31,9,31,31,31,31
DD4CC689,31,19,31,31,31,31
DFE7EBF2,31,0,31,31,31,31
E0EDC7ED,31,18,31,31,31,31
E1AF54FE,31,18,31,31,31,31
E2017146,31,19,31,31,31,31
E294E650,31,17,31,31,31,31
E733759E,31,6,31,31,31,31
E75E520A,31,14,31,31,31,31
E791A59D,31,15,31,31,31,31
E85B6F3E,31,29,31,31,31,31
E9D36084,31,2,31,31,31,31
EBC89F3A,31,21,31,31,31,31
EE399D35,31,4,31,31,31,31
F150BC07,31,25,31,31,31,31
F1CBEE68,31,7,31,31,31,31
F4B16618,31,7,31,31,31,31
F81A827D,31,15,31,31,31,31
FC4AA3AC,31,31,31,31,31,31
FF5C09DF,31,21,31,31,31,31
