MT Seed,HP,Atk,Def,SpA,SpD,Spe
015ACAE2,31,31,31,26,31,31
04688A64,31,31,31,22,31,31
056C7B9D,31,31,31,6,31,31
07270625,31,31,31,26,31,31
078F2915,31,31,31,2,31,31
07E9CE23,31,31,31,12,31,31
085DA898,31,31,31,23,31,31
084144DF,31,31,31,24,31,31
08E35933,31,31,31,21,31,31
09513E25,31,31,31,11,31,31
09DDECFE,31,31,31,13,31,31
0D904F7A,31,31,31,18,31,31
0ECB69D5,31,31,31,3,31,31
11E1199F,31,31,31,1,31,31
143D6696,31,31,31,2,31,31
19447626,31,31,31,23,31,31
1A2C64A0,31,31,31,25,31,31
1A1F4CCE,31,31,31,8,31,31
1A7C30A9,31,31,31,0,31,31
1B25D82B,31,31,31,11,31,31
1ED351F6,31,31,31,25,31,31
1FD23617,31,31,31,28,31,31
20F5E024,31,31,31,18,31,31
23BC0A84,31,31,31,2,31,31
23D18709,31,31,31,9,31,31
24885CD3,31,31,31,11,31,31
29981D9E,31,31,31,21,31,31
303EF882,31,31,31,29,31,31
3156C7B8,31,31,31,6,31,31
31759195,31,31,31,1,31,31
31C26DE4,31,31,31,31,31,31
32161197,31,31,31,9,31,31
3712E008,31,31,31,28,31,31
3CEC88D9,31,31,31,11,31,31
428CB959,31,31,31,4,31,31
452EE030,31,31,31,4,31,31
46494EA1,31,31,31,13,31,31
4ACC7A9E,31,31,31,19,31,31
4B4C8FCB,31,31,31,21,31,31
4D3910B5,31,31,31,9,31,31
4F22A26F,31,31,31,23,31,31
519A0C07,31,31,31,31,31,31
51D7ECEB,31,31,31,18,31,31
51E866CC,31,31,31,7,31,31
53FEE9AF,31,31,31,17,31,31
543EFB6F,31,31,31,25,31,31
5A207542,31,31,31,4,31,31
5BE0BE74,31,31,31,8,31,31
5F99CA3D,31,31,31,23,31,31
635FF4C9,31,31,31,11,31,31
63F48840,31,31,31,22,31,31
646A1FA1,31,31,31,28,31,31
67F4904A,31,31,31,29,31,31
6A901EBE,31,31,31,24,31,31
6FB92319,31,31,31,28,31,31
708E5F03,31,31,31,21,31,31
714DBEBC,31,31,31,9,31,31
716735EF,31,31,31,25,31,31
73AF97E2,31,31,31,18,31,31
7409CDA3,31,31,31,6,31,31
78338A5E,31,31,31,22,31,31
78B64E2F,31,31,31,8,31,31
795D491F,31,31,31,29,31,31
7D192988,31,31,31,3,31,31
7D127C52,31,31,31,1,31,31
7D877297,31,31,31,24,31,31
7E8096F0,31,31,31,13,31,31
7EC98F40,31,31,31,24,31,31
7F4CA29C,31,31,31,14,31,31
821FB2F1,31,31,31,12,31,31
8512DB2B,31,31,31,27,31,31
85B049C4,31,31,31,2,31,31
87AB3249,31,31,31,25,31,31
887645B2,31,31,31,30,31,31
89C282E0,31,31,31,17,31,31
8A9FA0A4,31,31,31,18,31,31
8B3E8FD8,31,31,31,16,31,31
8C072F65,31,31,31,2,31,31
8DED5AEA,31,31,31,23,31,31
91089A7E,31,31,31,4,31,31
9123573D,31,31,31,15,31,31
93441BB1,31,31,31,20,31,31
93C6E663,31,31,31,19,31,31
990AC502,31,31,31,2,31,31
999611DF,31,31,31,23,31,31
9A19DDD1,31,31,31,26,31,31
9AE62FD0,31,31,31,13,31,31
9F9F962C,31,31,31,4,31,31
A3D9EC19,31,31,31,0,31,31
A70D9E01,31,31,31,14,31,31
AB0A9A92,31,31,31,4,31,31
ACD969EB,31,31,31,3,31,31
ADA0D79F,31,31,31,14,31,31
AFE44441,31,31,31,8,31,31
B1D089DF,31,31,31,14,31,31
B2061C2A,31,31,31,4,31,31
B6060371,31,31,31,20,31,31
B904BBCA,31,31,31,26,31,31
B95CA76C,31,31,31,15,31,31
BA9D9208,31,31,31,23,31,31
BAD81848,31,31,31,12,31,31
BD188301,31,31,31,21,31,31
BE339A49,31,31,31,22,31,31
C0F38D8E,31,31,31,16,31,31
C2835F21,31,31,31,18,31,31
C28A882E,31,31,31,31,31,31
C6719954,31,31,31,23,31,31
C6C59DF0,31,31,31,6,31,31
C8418469,31,31,31,9,31,31
CB6C3F6D,31,31,31,21,31,31
CDC3A57A,31,31,31,9,31,31
CE148160,31,31,31,28,31,31
D183C269,31,31,31,9,31,31
D3BFC3FA,31,31,31,12,31,31
D748C5E6,31,31,31,9,31,31
D89F02AB,31,31,31,2,31,31
DE3D9B54,31,31,31,24,31,31
DFE7EBF2,31,31,31,31,31,31
E08DC720,31,31,31,6,31,31
E28C29B2,31,31,31,20,31,31
E34372AE,31,31,31,31,31,31
E3DF524E,31,31,31,17,31,31
E754AEC9,31,31,31,0,31,31
E7E04D24,31,31,31,4,31,31
EA4AE88C,31,31,31,30,31,31
EB1E6178,31,31,31,8,31,31
ED01C9C2,31,31,31,31,31,31
EDBC231C,31,31,31,6,31,31
EF079F0A,31,31,31,13,31,31
F183C755,31,31,31,3,31,31
F4751BBD,31,31,31,25,31,31
F4E5FD8A,31,31,31,0,31,31
F52CA82B,31,31,31,2,31,31
FA5EC670,31,31,31,4,31,31
