encounter,N,A,condition,elapsed_ms,max_batch_ms,matches
Roamer,1000,30,shiny,1.174,0.031,4
Roamer,1000,1000,shiny,14.597,0.054,119
Roamer,1000,10000,shiny,143.511,0.105,1275
Roamer,10000,30,shiny,6.277,0.025,40
Roamer,10000,1000,shiny,146.765,0.024,1231
Roamer,10000,10000,shiny,1432.455,0.095,12379
Roamer,1000,30,all,2.505,0.032,30000
Roamer,1000,30,none,0.711,0.025,0
Roamer,1000,30,nature,1.680,0.062,1188
Roamer,1000,30,species,2.407,0.026,30000
Roamer,1000,30,gender,2.279,0.043,14920
Roamer,1000,30,ability,2.307,0.044,15037
Roamer,1000,30,level,2.394,0.023,30000
StaticSymbol,1000,30,shiny,0.676,0.022,3
StaticSymbol,1000,1000,shiny,15.534,0.020,130
StaticSymbol,1000,10000,shiny,152.534,0.057,1220
StaticSymbol,10000,30,shiny,6.421,0.027,44
StaticSymbol,10000,1000,shiny,154.327,0.040,1288
StaticSymbol,10000,10000,shiny,1512.442,0.089,12268
StaticSymbol,1000,30,all,2.446,0.037,30000
StaticSymbol,1000,30,none,0.742,0.025,0
StaticSymbol,1000,30,nature,1.715,0.064,1194
StaticSymbol,1000,30,species,2.413,0.027,30000
StaticSymbol,1000,30,gender,2.300,0.042,14952
StaticSymbol,1000,30,ability,2.308,0.043,14968
StaticSymbol,1000,30,level,2.357,0.021,30000
Normal,1000,30,shiny,0.820,0.031,3
Normal,1000,1000,shiny,19.911,0.028,130
Normal,1000,10000,shiny,197.618,0.032,1220
Normal,10000,30,shiny,8.031,0.033,47
Normal,10000,1000,shiny,200.805,0.057,1289
Normal,10000,10000,shiny,1977.958,0.097,12267
Normal,1000,30,all,2.680,0.041,30000
Normal,1000,30,none,0.884,0.032,0
Normal,1000,30,nature,1.899,0.067,1189
Normal,1000,30,species,2.632,0.028,30000
Normal,1000,30,gender,2.720,0.054,14960
Normal,1000,30,ability,2.629,0.052,14948
Normal,1000,30,level,2.575,0.025,30000
