encounter,condition,directMs,maxBatchMs,workerMs,matches,heapStart,heapPeak,heapAfterWorker,wasmBytes
Roamer,none,4,0.39999985694885254,144.40000009536743,0,14315889,14315889,14424472,2490368
Roamer,all,55.39999985694885,2.0999999046325684,663.1000001430511,30000,14424472,14920710,33333993,2490368
Roamer,shiny,1.3999998569488525,0.10000014305114746,132.60000014305115,7,33333993,33333993,33409672,2490368
Roamer,nature,3.9000000953674316,0.20000004768371582,131.29999995231628,1250,33409672,33409672,35413415,2490368
Roamer,species,53,2.3999998569488525,668.3999998569489,30000,35413415,42476999,39728585,2490368
Roamer,gender,26.399999856948853,0.7000000476837158,324.2999999523163,15067,39728585,39728585,46548023,2490368
Roamer,ability,27.699999809265137,0.7999999523162842,332,14971,46548023,46548023,54786566,2490368
Roamer,level,53.90000009536743,3.3999998569488525,674.2999999523163,30000,54786566,54786566,72945849,2490368
StaticSymbol,none,1,0.10000014305114746,131.5,0,72945849,72945849,72986296,2490368
StaticSymbol,all,53.59999990463257,3.700000047683716,661.2000000476837,30000,72986296,72986296,79834695,2490368
StaticSymbol,shiny,0.8999998569488525,0.10000014305114746,132.60000014305115,6,79834695,79834695,79879226,2490368
StaticSymbol,nature,3.8999998569488525,0.20000004768371582,130.40000009536743,1243,79879226,79879226,81874921,2490368
StaticSymbol,species,51.700000047683716,0.6000001430511475,678.7000000476837,30000,81874921,96587161,33399589,2490368
StaticSymbol,gender,26.399999856948853,0.5,321.7000000476837,15091,33399589,33399589,40388531,2490368
StaticSymbol,ability,26.799999952316284,0.5999999046325684,328.80000019073486,15013,40388531,40388531,51803546,2490368
StaticSymbol,level,49.700000047683716,0.5999999046325684,667.5,30000,51803546,67058926,68258041,2490368
Normal,none,1.2000000476837158,0.10000014305114746,131.20000004768372,0,68258041,68258041,68286008,2490368
Normal,all,52.5,3,684.4000000953674,30000,68286008,68286008,32343261,2490368
Normal,shiny,1.4000000953674316,0.10000014305114746,136.19999980926514,7,32343261,32343261,32384179,2490368
Normal,nature,4.299999952316284,0.20000004768371582,135.5,1219,32384179,32384179,34342542,2490368
Normal,species,52.5,2.799999952316284,689,30000,34342542,34342542,32987677,2490368
Normal,gender,26.5,0.6000001430511475,330.60000014305115,15074,32987677,32987677,44914025,2490368
Normal,ability,26.59999990463257,0.5,332.2999999523163,15056,44914025,44914025,51813699,2490368
Normal,level,53.09999990463257,3.0999999046325684,673.5,30000,51813699,51813699,69424202,2490368
