MT Seed,HP,Atk,Def,SpA,SpD,Spe
02B7FE42,31,31,31,26,31,31
059D51DD,31,31,31,1,31,31
05CBFD3B,31,31,31,29,31,31
07273732,31,31,31,2,31,31
07E38FC5,31,31,31,28,31,31
08D76A92,31,31,31,9,31,31
09A93603,31,31,31,20,31,31
09FED590,31,31,31,19,31,31
0B478E0F,31,31,31,11,31,31
0BC2CD1C,31,31,31,8,31,31
0DECEFFF,31,31,31,13,31,31
0F5888DD,31,31,31,2,31,31
112A9E38,31,31,31,5,31,31
14B11BA6,31,31,31,31,31,31
169610B4,31,31,31,1,31,31
16D2CF0F,31,31,31,28,31,31
1A995614,31,31,31,27,31,31
1D52BC55,31,31,31,16,31,31
1EA5FDDA,31,31,31,0,31,31
208CB09D,31,31,31,22,31,31
21A377BA,31,31,31,6,31,31
224B055A,31,31,31,18,31,31
23D90D18,31,31,31,14,31,31
259ADB56,31,31,31,2,31,31
28916D4C,31,31,31,29,31,31
2944D7DC,31,31,31,16,31,31
2C8B501B,31,31,31,9,31,31
2F0F1E6E,31,31,31,25,31,31
3176A458,31,31,31,15,31,31
322A580A,31,31,31,8,31,31
32E83280,31,31,31,19,31,31
33664CB5,31,31,31,18,31,31
3894B888,31,31,31,1,31,31
3ABF6BA1,31,31,31,13,31,31
3AE51462,31,31,31,2,31,31
3BE8B942,31,31,31,4,31,31
401EB8B7,31,31,31,28,31,31
43CEAF59,31,31,31,30,31,31
46B2A8D6,31,31,31,15,31,31
48F59134,31,31,31,0,31,31
4AF61A80,31,31,31,1,31,31
4AEA9472,31,31,31,1,31,31
4B70114F,31,31,31,22,31,31
4C2AF936,31,31,31,15,31,31
4E88EF42,31,31,31,24,31,31
532E3088,31,31,31,16,31,31
53F7231F,31,31,31,3,31,31
56E14F17,31,31,31,30,31,31
581E7270,31,31,31,2,31,31
583171A4,31,31,31,11,31,31
5C39AEED,31,31,31,30,31,31
5E24142E,31,31,31,29,31,31
6118B43A,31,31,31,15,31,31
6A87EEEF,31,31,31,8,31,31
6AC00DC8,31,31,31,21,31,31
6BE37FDF,31,31,31,24,31,31
6CE170AE,31,31,31,16,31,31
70017305,31,31,31,16,31,31
700167AF,31,31,31,3,31,31
7144F994,31,31,31,19,31,31
716F14BC,31,31,31,9,31,31
7371CD82,31,31,31,19,31,31
74725714,31,31,31,20,31,31
7583C82F,31,31,31,8,31,31
75FC9B70,31,31,31,1,31,31
765FA693,31,31,31,27,31,31
76C91264,31,31,31,4,31,31
79CFD756,31,31,31,12,31,31
7BE839F2,31,31,31,20,31,31
7C7CA05C,31,31,31,8,31,31
7D035FC6,31,31,31,21,31,31
7F4CE80B,31,31,31,25,31,31
801059A0,31,31,31,30,31,31
8159BFB3,31,31,31,3,31,31
818BA6FF,31,31,31,10,31,31
8464AA16,31,31,31,13,31,31
848B477C,31,31,31,8,31,31
84A1EBB0,31,31,31,1,31,31
854F6CC6,31,31,31,12,31,31
86880103,31,31,31,6,31,31
8A30480D,31,31,31,31,31,31
8AB0371F,31,31,31,11,31,31
8D914E2C,31,31,31,9,31,31
8DE84915,31,31,31,2,31,31
8E667B89,31,31,31,13,31,31
8F902184,31,31,31,6,31,31
900B077F,31,31,31,13,31,31
92D8D11D,31,31,31,22,31,31
9509D05B,31,31,31,14,31,31
9535270E,31,31,31,21,31,31
96624FA7,31,31,31,8,31,31
98DDD5B6,31,31,31,8,31,31
9B0216BE,31,31,31,16,31,31
9E02B0AE,31,31,31,31,31,31
9FB616D1,31,31,31,5,31,31
A1609923,31,31,31,11,31,31
A3758CBD,31,31,31,9,31,31
A3850811,31,31,31,13,31,31
A453ADCB,31,31,31,14,31,31
A7DA95BA,31,31,31,3,31,31
A8362B6D,31,31,31,19,31,31
A92F61A7,31,31,31,21,31,31
A93CC56D,31,31,31,7,31,31
AC844787,31,31,31,3,31,31
ADFA2178,31,31,31,31,31,31
B5F2E209,31,31,31,14,31,31
B6C04B48,31,31,31,26,31,31
B7FF4F5C,31,31,31,7,31,31
B8A7BA99,31,31,31,17,31,31
BAADD443,31,31,31,2,31,31
BC22767E,31,31,31,4,31,31
BCFC2F6C,31,31,31,5,31,31
BE606C5C,31,31,31,25,31,31
BED01BCE,31,31,31,8,31,31
BF89F258,31,31,31,23,31,31
C17A1E5D,31,31,31,9,31,31
C4004D0F,31,31,31,10,31,31
C443BBC9,31,31,31,26,31,31
C45D187D,31,31,31,25,31,31
C4D19D46,31,31,31,9,31,31
C535AD64,31,31,31,18,31,31
C60FB040,31,31,31,7,31,31
C6B1E761,31,31,31,8,31,31
C6DF26AE,31,31,31,21,31,31
C8A1AF48,31,31,31,8,31,31
C8F0BBC4,31,31,31,13,31,31
CAA32193,31,31,31,4,31,31
CD2A6CE2,31,31,31,16,31,31
CE311798,31,31,31,21,31,31
CF411CAC,31,31,31,24,31,31
CF605445,31,31,31,29,31,31
D006213A,31,31,31,10,31,31
D1DF6057,31,31,31,18,31,31
D40EDCEF,31,31,31,23,31,31
D5403595,31,31,31,29,31,31
D675C889,31,31,31,9,31,31
D79F43D4,31,31,31,17,31,31
D979A9B5,31,31,31,18,31,31
D9C7A482,31,31,31,20,31,31
